

[2024-07-26 08:47:19] Startup - updater built Dec  2 2013 18:43:44
[2024-07-26 08:47:19] Checking for update on startup
[2024-07-26 08:47:19] Checking for available update...
[2024-07-26 08:47:19] Download failed: http error 0
[2024-07-26 08:47:20] Package file steamcmd_public_all.zip.ea67e6dc83b60ab8bfb54756920e9ea394f81a90 missing or incorrect size
[2024-07-26 08:47:20] Package file steamcmd_bins_win32.zip.c5a60520ed26ff584606a61556c53c423cf65497 missing or incorrect size
[2024-07-26 08:47:20] Package file steamcmd_steamservice_win32.zip.060c38ed69f4c616784fd24108be86b14fcc38b6 missing or incorrect size
[2024-07-26 08:47:20] Package file steamcmd_steamerrorreporter_win32.zip.3f6e8bcb0ac5985497ab4a88a0ee73e48b405a37 missing or incorrect size
[2024-07-26 08:47:20] Package file steamcmd_siteserverui_win32.zip.24eee3722a77383749ae67b678313695e9fef36b missing or incorrect size
[2024-07-26 08:47:20] Package file steamcmd_win32.zip.a8b4151eabc9e93979154dacf7d76b33bc9d1318 missing or incorrect size
[2024-07-26 08:47:20] Downloading update (0 of 65,458 KB)...
[2024-07-26 08:47:20] Error: Download of package (steamcmd_win32) failed after 0 bytes (0).
[2024-07-26 08:47:20] Error: Download of package (steamcmd_siteserverui_win32) failed after 0 bytes (0).
[2024-07-26 08:47:20] Error: Download of package (steamcmd_steamerrorreporter_win32) failed after 0 bytes (0).
[2024-07-26 08:47:20] Error: Download of package (steamcmd_steamservice_win32) failed after 0 bytes (0).
[2024-07-26 08:47:20] Error: Download of package (steamcmd_bins_win32) failed after 0 bytes (0).
[2024-07-26 08:47:20] Error: Download of package (steamcmd_public_all) failed after 0 bytes (0).
[2024-07-26 08:47:20] Package file steamcmd_public_all.zip.ea67e6dc83b60ab8bfb54756920e9ea394f81a90 missing or incorrect size
[2024-07-26 08:47:20] Package file steamcmd_bins_win32.zip.c5a60520ed26ff584606a61556c53c423cf65497 missing or incorrect size
[2024-07-26 08:47:20] Package file steamcmd_steamservice_win32.zip.060c38ed69f4c616784fd24108be86b14fcc38b6 missing or incorrect size
[2024-07-26 08:47:20] Package file steamcmd_steamerrorreporter_win32.zip.3f6e8bcb0ac5985497ab4a88a0ee73e48b405a37 missing or incorrect size
[2024-07-26 08:47:20] Package file steamcmd_siteserverui_win32.zip.24eee3722a77383749ae67b678313695e9fef36b missing or incorrect size
[2024-07-26 08:47:20] Package file steamcmd_win32.zip.a8b4151eabc9e93979154dacf7d76b33bc9d1318 missing or incorrect size
[2024-07-26 08:47:20] Downloading update (217 of 65,458 KB)...
[2024-07-26 08:47:20] Downloading update (724 of 65,458 KB)...
[2024-07-26 08:47:21] Downloading update (1,094 of 65,458 KB)...
[2024-07-26 08:47:21] Downloading update (1,794 of 65,458 KB)...
[2024-07-26 08:47:21] Downloading update (2,474 of 65,458 KB)...
[2024-07-26 08:47:22] Downloading update (3,042 of 65,458 KB)...
[2024-07-26 08:47:22] Downloading update (3,435 of 65,458 KB)...
[2024-07-26 08:47:22] Downloading update (4,036 of 65,458 KB)...
[2024-07-26 08:47:22] Downloading update (4,689 of 65,458 KB)...
[2024-07-26 08:47:23] Downloading update (4,886 of 65,458 KB)...
[2024-07-26 08:47:23] Downloading update (5,410 of 65,458 KB)...
[2024-07-26 08:47:23] Downloading update (5,860 of 65,458 KB)...
[2024-07-26 08:47:23] Downloading update (6,426 of 65,458 KB)...
[2024-07-26 08:47:24] Downloading update (6,906 of 65,458 KB)...
[2024-07-26 08:47:24] Downloading update (7,566 of 65,458 KB)...
[2024-07-26 08:47:24] Downloading update (7,977 of 65,458 KB)...
[2024-07-26 08:47:24] Downloading update (8,715 of 65,458 KB)...
[2024-07-26 08:47:25] Downloading update (9,432 of 65,458 KB)...
[2024-07-26 08:47:25] Downloading update (9,995 of 65,458 KB)...
[2024-07-26 08:47:25] Downloading update (10,325 of 65,458 KB)...
[2024-07-26 08:47:25] Downloading update (11,025 of 65,458 KB)...
[2024-07-26 08:47:26] Downloading update (11,544 of 65,458 KB)...
[2024-07-26 08:47:26] Downloading update (12,084 of 65,458 KB)...
[2024-07-26 08:47:26] Downloading update (12,636 of 65,458 KB)...
[2024-07-26 08:47:26] Downloading update (13,224 of 65,458 KB)...
[2024-07-26 08:47:27] Downloading update (13,648 of 65,458 KB)...
[2024-07-26 08:47:27] Downloading update (14,155 of 65,458 KB)...
[2024-07-26 08:47:27] Downloading update (14,604 of 65,458 KB)...
[2024-07-26 08:47:27] Downloading update (15,266 of 65,458 KB)...
[2024-07-26 08:47:28] Downloading update (15,528 of 65,458 KB)...
[2024-07-26 08:47:28] Downloading update (16,324 of 65,458 KB)...
[2024-07-26 08:47:28] Downloading update (16,968 of 65,458 KB)...
[2024-07-26 08:47:28] Downloading update (17,497 of 65,458 KB)...
[2024-07-26 08:47:29] Downloading update (18,027 of 65,458 KB)...
[2024-07-26 08:47:29] Downloading update (18,498 of 65,458 KB)...
[2024-07-26 08:47:29] Downloading update (19,015 of 65,458 KB)...
[2024-07-26 08:47:29] Downloading update (19,547 of 65,458 KB)...
[2024-07-26 08:47:30] Downloading update (19,924 of 65,458 KB)...
[2024-07-26 08:47:30] Downloading update (20,686 of 65,458 KB)...
[2024-07-26 08:47:30] Downloading update (21,177 of 65,458 KB)...
[2024-07-26 08:47:30] Downloading update (21,584 of 65,458 KB)...
[2024-07-26 08:47:31] Downloading update (22,071 of 65,458 KB)...
[2024-07-26 08:47:31] Downloading update (22,440 of 65,458 KB)...
[2024-07-26 08:47:31] Downloading update (23,060 of 65,458 KB)...
[2024-07-26 08:47:31] Downloading update (23,443 of 65,458 KB)...
[2024-07-26 08:47:32] Downloading update (23,967 of 65,458 KB)...
[2024-07-26 08:47:32] Downloading update (24,668 of 65,458 KB)...
[2024-07-26 08:47:32] Downloading update (25,111 of 65,458 KB)...
[2024-07-26 08:47:32] Downloading update (25,233 of 65,458 KB)...
[2024-07-26 08:47:33] Downloading update (25,515 of 65,458 KB)...
[2024-07-26 08:47:33] Downloading update (25,716 of 65,458 KB)...
[2024-07-26 08:47:33] Downloading update (26,120 of 65,458 KB)...
[2024-07-26 08:47:34] Downloading update (26,577 of 65,458 KB)...
[2024-07-26 08:47:34] Downloading update (26,982 of 65,458 KB)...
[2024-07-26 08:47:34] Downloading update (27,377 of 65,458 KB)...
[2024-07-26 08:47:34] Downloading update (27,674 of 65,458 KB)...
[2024-07-26 08:47:35] Downloading update (28,136 of 65,458 KB)...
[2024-07-26 08:47:35] Downloading update (28,642 of 65,458 KB)...
[2024-07-26 08:47:35] Downloading update (29,040 of 65,458 KB)...
[2024-07-26 08:47:35] Downloading update (29,636 of 65,458 KB)...
[2024-07-26 08:47:36] Downloading update (30,166 of 65,458 KB)...
[2024-07-26 08:47:36] Downloading update (30,580 of 65,458 KB)...
[2024-07-26 08:47:36] Downloading update (31,158 of 65,458 KB)...
[2024-07-26 08:47:36] Downloading update (31,478 of 65,458 KB)...
[2024-07-26 08:47:37] Downloading update (31,873 of 65,458 KB)...
[2024-07-26 08:47:37] Downloading update (31,940 of 65,458 KB)...
[2024-07-26 08:47:37] Downloading update (32,461 of 65,458 KB)...
[2024-07-26 08:47:37] Downloading update (32,806 of 65,458 KB)...
[2024-07-26 08:47:38] Downloading update (33,240 of 65,458 KB)...
[2024-07-26 08:47:38] Downloading update (33,690 of 65,458 KB)...
[2024-07-26 08:47:38] Downloading update (34,158 of 65,458 KB)...
[2024-07-26 08:47:38] Downloading update (34,740 of 65,458 KB)...
[2024-07-26 08:47:39] Downloading update (35,181 of 65,458 KB)...
[2024-07-26 08:47:39] Downloading update (35,711 of 65,458 KB)...
[2024-07-26 08:47:39] Downloading update (36,175 of 65,458 KB)...
[2024-07-26 08:47:40] Downloading update (36,707 of 65,458 KB)...
[2024-07-26 08:47:40] Downloading update (37,068 of 65,458 KB)...
[2024-07-26 08:47:40] Downloading update (37,448 of 65,458 KB)...
[2024-07-26 08:47:40] Downloading update (37,935 of 65,458 KB)...
[2024-07-26 08:47:41] Downloading update (38,486 of 65,458 KB)...
[2024-07-26 08:47:41] Downloading update (39,150 of 65,458 KB)...
[2024-07-26 08:47:41] Downloading update (39,571 of 65,458 KB)...
[2024-07-26 08:47:41] Downloading update (39,995 of 65,458 KB)...
[2024-07-26 08:47:42] Downloading update (40,424 of 65,458 KB)...
[2024-07-26 08:47:42] Downloading update (40,813 of 65,458 KB)...
[2024-07-26 08:47:42] Downloading update (41,376 of 65,458 KB)...
[2024-07-26 08:47:42] Downloading update (41,894 of 65,458 KB)...
[2024-07-26 08:47:43] Downloading update (42,353 of 65,458 KB)...
[2024-07-26 08:47:43] Downloading update (42,820 of 65,458 KB)...
[2024-07-26 08:47:43] Downloading update (43,300 of 65,458 KB)...
[2024-07-26 08:47:43] Downloading update (43,732 of 65,458 KB)...
[2024-07-26 08:47:44] Downloading update (44,139 of 65,458 KB)...
[2024-07-26 08:47:44] Downloading update (44,235 of 65,458 KB)...
[2024-07-26 08:47:44] Downloading update (44,627 of 65,458 KB)...
[2024-07-26 08:47:44] Downloading update (44,979 of 65,458 KB)...
[2024-07-26 08:47:45] Downloading update (45,480 of 65,458 KB)...
[2024-07-26 08:47:45] Downloading update (46,074 of 65,458 KB)...
[2024-07-26 08:47:45] Downloading update (46,504 of 65,458 KB)...
[2024-07-26 08:47:45] Downloading update (47,083 of 65,458 KB)...
[2024-07-26 08:47:46] Downloading update (47,602 of 65,458 KB)...
[2024-07-26 08:47:46] Downloading update (48,125 of 65,458 KB)...
[2024-07-26 08:47:46] Downloading update (48,662 of 65,458 KB)...
[2024-07-26 08:47:46] Downloading update (49,186 of 65,458 KB)...
[2024-07-26 08:47:47] Downloading update (49,808 of 65,458 KB)...
[2024-07-26 08:47:47] Downloading update (50,216 of 65,458 KB)...
[2024-07-26 08:47:47] Downloading update (50,652 of 65,458 KB)...
[2024-07-26 08:47:48] Downloading update (51,184 of 65,458 KB)...
